"gene_accession_id","disease_id"
"MGI:893598","DOID:8552"
"MGI:3621056","DOID:8552"
"MGI:3834459","DOID:8552"
"MGI:3834460","DOID:8552"
"MGI:3834478","DOID:8552"
"MGI:107576","DOID:8552"
"MGI:1914167","DOID:8552"
"MGI:1335088","DOID:0060645"
"MGI:99887","DOID:0060357"
"MGI:1913647","DOID:0060357"
"MGI:2653833","DOID:0090029"
"MGI:6110824","DOID:0080313"
"MGI:88180","DOID:0080313"
"MGI:98729","DOID:0110214"
"MGI:88291","DOID:13994"
"MGI:99829","DOID:13994"
"MGI:99851","DOID:13994"
"MGI:107588","DOID:14693"
"MGI:1206581","DOID:0080351"
"MGI:2671601","DOID:11836"
"MGI:97902","DOID:11836"
"MGI:1350931","DOID:11836"
"MGI:3522251","DOID:11836"
"MGI:1921303","DOID:11836"
"MGI:2385368","DOID:11836"
"MGI:94863","DOID:11836"
"MGI:97628","DOID:11836"
"MGI:88415","DOID:11836"
"MGI:107374","DOID:11836"
"MGI:1341070","DOID:11836"
"MGI:104557","DOID:3783"
"MGI:1926129","DOID:0070042"
"MGI:1916380","DOID:0111590"
"MGI:7780154","DOID:12270"
"MGI:97307","DOID:12270"
"MGI:7748783","DOID:12270"
"MGI:7779607","DOID:12270"
"MGI:88039","DOID:9256"
"MGI:103038","DOID:9256"
"MGI:4459071","DOID:9256"
"MGI:97783","DOID:0111330"
"MGI:88227","DOID:8354"
"MGI:101834","DOID:0090138"
"MGI:1920960","DOID:0090132"
"MGI:105980","DOID:0080101"
"MGI:4430103","DOID:0080314"
"MGI:1914407","DOID:0111022"
"MGI:1917285","DOID:0111024"
"MGI:6794091","DOID:0111025"
"MGI:1194883","DOID:0111005"
"MGI:1914421","DOID:0081447"
"MGI:1916202","DOID:0081448"
"MGI:109424","DOID:0111013"
"MGI:5908881","DOID:0111011"
"MGI:105123","DOID:0111011"
"MGI:5908880","DOID:0111011"
"MGI:105376","DOID:0111020"
"MGI:102760","DOID:0050811"
"MGI:88583","DOID:0050811"
"MGI:95526","DOID:2236"
"MGI:97495","DOID:0112359"
"MGI:1353569","DOID:11367"
"MGI:1349216","DOID:0111066"
